                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.72398,                 2.3322,                 1.2755,                0.00533,                    0.8,                 0.3175,                0.16773,                0.83235,                 2.9274,                 1.5496,                0.00028,                0.00028,                0.00028
                      1,                0.60098,                 1.4469,                 1.1468,                0.50063,                0.40113,                0.46428,                 0.2929,                0.93945,                 2.6728,                 1.5913,             0.00056852,             0.00056852,             0.00056852
                      2,                0.58767,                 1.2787,                 1.1448,                 0.9484,                    0.4,                0.58628,                0.35409,                 1.2451,                 2.4023,                 2.3539,             0.00084515,             0.00084515,             0.00084515
                      3,                0.59757,                 1.2283,                 1.1328,                0.40437,                    0.4,                0.34409,                0.17225,                 1.2295,                 2.6684,                 2.7039,              0.0011099,              0.0011099,              0.0011099
                      4,                0.60918,                 1.0966,                 1.1265,                0.42053,                0.65476,                0.41383,                 0.2341,                 1.5217,                 2.3039,                 2.5989,              0.0013628,              0.0013628,              0.0013628
                      5,                0.59938,                 1.0549,                 1.1446,                0.31761,                    0.3,                0.26931,                0.09275,                  2.264,                 3.2797,                 3.4011,              0.0016038,              0.0016038,              0.0016038
                      6,                0.69255,                 1.1795,                 1.1571,                0.34602,                 0.7939,                0.50209,                0.21509,                 1.5191,                 2.3918,                   2.66,              0.0017624,              0.0017624,              0.0017624
                      7,                0.59732,                 1.0616,                 1.0999,                0.55824,                    0.5,                0.54354,                 0.2906,                 1.6579,                 2.0397,                 2.3895,              0.0017624,              0.0017624,              0.0017624
                      8,                0.64291,                 1.0061,                 1.1592,                0.33329,                    0.5,                0.26194,                0.08109,                 2.3083,                 2.4287,                 3.5328,              0.0017228,              0.0017228,              0.0017228
                      9,                0.63962,                 0.9982,                   1.14,                0.58468,                    0.6,                0.48119,                0.16988,                 1.6224,                 2.1808,                 2.4031,              0.0016832,              0.0016832,              0.0016832
                     10,                0.64486,                 1.0292,                 1.1612,                0.70301,                    0.5,                0.47214,                0.28889,                 1.8194,                 1.4393,                 3.2311,              0.0016436,              0.0016436,              0.0016436
                     11,                0.66028,                0.92213,                 1.1457,                0.68944,                    0.5,                0.51576,                0.13296,                 2.2913,                 1.9664,                 3.7523,               0.001604,               0.001604,               0.001604
                     12,                0.60938,                0.91099,                 1.1132,                0.52489,                    0.6,                0.54161,                 0.1512,                 2.2176,                  1.991,                 3.2297,              0.0015644,              0.0015644,              0.0015644
                     13,                0.56306,                0.88668,                 1.0741,                0.49774,                    0.5,                0.32178,                0.07889,                 2.0671,                 2.8152,                 2.7329,              0.0015248,              0.0015248,              0.0015248
                     14,                0.52695,                0.82555,                 1.0723,                0.28683,                    0.4,                 0.3183,                0.10971,                 1.7874,                 2.2811,                 2.7574,              0.0014852,              0.0014852,              0.0014852
                     15,                0.54264,                0.74761,                 1.0658,                0.85973,                0.61446,                0.69937,                0.41237,                 1.1733,                 1.4302,                 1.8021,              0.0014456,              0.0014456,              0.0014456
                     16,                0.52207,                0.71332,                 1.0736,                0.97821,                    0.5,                 0.6402,                0.42557,                 1.2157,                 1.3276,                 1.8971,               0.001406,               0.001406,               0.001406
                     17,                0.56311,                0.73863,                  1.083,                0.48418,                    0.5,                0.46837,                 0.1979,                 1.8586,                 1.5423,                 2.4126,              0.0013664,              0.0013664,              0.0013664
                     18,                0.56408,                0.74118,                 1.0716,                0.92427,                    0.6,                0.64331,                0.32543,                 1.4663,                 1.3129,                 2.1799,              0.0013268,              0.0013268,              0.0013268
